GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EventDispatcher,com.fermod.observer,ObservedValue,7,87,6,10,1,25,5,12,0,9
EventDispatcher,com.fermod.event,EventPublisher,0,70,0,0,0,21,0,5,0,5
